"REF_DATE","GEO","DGUID","Type of structure","Type of work","Variables","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Newfoundland and Labrador","2016A000210","Schools, education","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847541","2.76.1.5.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121334194","2.82.1.1.1","2000",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121334194","2.82.1.1.1","2000",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753394","2.82.1.1.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753394","2.82.1.1.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121334202","2.82.1.5.1","2",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121334202","2.82.1.5.1","1",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847625","2.82.1.5.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Medical, hospital","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847625","2.82.1.5.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121334914","2.85.1.1.1","0",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121334914","2.85.1.1.1","32000",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753436","2.85.1.1.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753436","2.85.1.1.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121334922","2.85.1.5.1","0",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121334922","2.85.1.5.1","1",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847667","2.85.1.5.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Welfare, home","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847667","2.85.1.5.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121335154","2.86.1.1.1","0",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121335154","2.86.1.1.1","0",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753450","2.86.1.1.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753450","2.86.1.1.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121335162","2.86.1.5.1","0",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121335162","2.86.1.5.1","0",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847681","2.86.1.5.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Churches, religion","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847681","2.86.1.5.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121335394","2.87.1.1.1","0",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121335394","2.87.1.1.1","0",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753464","2.87.1.1.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753464","2.87.1.1.3",,"..",,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121335402","2.87.1.5.1","0",,,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121335402","2.87.1.5.1","0",,,,"0"
"2020-03","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847695","2.87.1.5.3",,"..",,,"0"
"2020-04","Newfoundland and Labrador","2016A000210","Government buildings","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847695","2.87.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121336114","3.1.1.1.1","28469",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121336114","3.1.1.1.1","6601",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753506","3.1.1.1.3","25215",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753506","3.1.1.1.3","5854",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121336122","3.1.1.5.1","87",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121336122","3.1.1.5.1","56",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847737","3.1.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential and non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847737","3.1.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121336834","3.4.1.1.1","24850",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121336834","3.4.1.1.1","5888",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753555","3.4.1.1.3","22069",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753555","3.4.1.1.3","5238",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121336842","3.4.1.5.1","68",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121336842","3.4.1.5.1","52",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847786","3.4.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Total residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847786","3.4.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121337554","3.7.1.1.1","8413",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121337554","3.7.1.1.1","2772",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753598","3.7.1.1.3","7701",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753598","3.7.1.1.3","2526",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121337562","3.7.1.5.1","48",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121337562","3.7.1.5.1","42",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847829","3.7.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Single dwelling building total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847829","3.7.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121337794","3.8.1.1.1","8225",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121337794","3.8.1.1.1","2517",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753615","3.8.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753615","3.8.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121337802","3.8.1.5.1","36",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121337802","3.8.1.5.1","11",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847846","3.8.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Major single dwelling  projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847846","3.8.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121338034","3.9.1.1.1","188",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121338034","3.9.1.1.1","255",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753632","3.9.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753632","3.9.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121338042","3.9.1.5.1","12",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121338042","3.9.1.5.1","31",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847863","3.9.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor single dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847863","3.9.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Single total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121338274","3.10.1.1.1","7583",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Single total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121338274","3.10.1.1.1","2389",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Single total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753637","3.10.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Single total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753637","3.10.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Single total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121338282","3.10.1.5.1","31",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Single total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121338282","3.10.1.5.1","10",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Single total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847868","3.10.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Single total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271847868","3.10.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121338994","3.13.1.1.1","452",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121338994","3.13.1.1.1","128",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753688","3.13.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753688","3.13.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339002","3.13.1.5.1","3",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339002","3.13.1.5.1","1",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838442","3.13.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Mobile home","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838442","3.13.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Cottage","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339234","3.14.1.1.1","190",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Cottage","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339234","3.14.1.1.1","0",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Cottage","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753698","3.14.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Cottage","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753698","3.14.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Cottage","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339242","3.14.1.5.1","2",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Cottage","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339242","3.14.1.5.1","0",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Cottage","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838452","3.14.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Cottage","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838452","3.14.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339474","3.15.1.1.1","16437",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339474","3.15.1.1.1","3116",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753710","3.15.1.1.3","14368",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753710","3.15.1.1.3","2712",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339482","3.15.1.5.1","20",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339482","3.15.1.5.1","10",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838464","3.15.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Multiple dwelling building total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838464","3.15.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339714","3.16.1.1.1","16437",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339714","3.16.1.1.1","3111",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753729","3.16.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753729","3.16.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339722","3.16.1.5.1","20",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339722","3.16.1.5.1","9",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838483","3.16.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Major multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838483","3.16.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339954","3.17.1.1.1","0",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121339954","3.17.1.1.1","5",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753748","3.17.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753748","3.17.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339962","3.17.1.5.1","0",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121339962","3.17.1.5.1","1",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838502","3.17.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Minor multiple dwelling projects","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838502","3.17.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Double total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121340194","3.18.1.1.1","1877",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Double total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121340194","3.18.1.1.1","700",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Double total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753753","3.18.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Double total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753753","3.18.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Double total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121340202","3.18.1.5.1","8",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Double total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121340202","3.18.1.5.1","4",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Double total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838507","3.18.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Double total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838507","3.18.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Row total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121340914","3.21.1.1.1","1100",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Row total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121340914","3.21.1.1.1","2411",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Row total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753807","3.21.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Row total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271753807","3.21.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Row total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121340922","3.21.1.5.1","2",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Row total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121340922","3.21.1.5.1","5",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Row total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838561","3.21.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Row total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838561","3.21.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121341634","3.24.1.1.1","13460",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121341634","3.24.1.1.1","0",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271777816","3.24.1.1.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271777816","3.24.1.1.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121341642","3.24.1.5.1","10",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121341642","3.24.1.5.1","0",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838618","3.24.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Apartment total","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838618","3.24.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121343794","3.33.1.1.1","3619",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121343794","3.33.1.1.1","713",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271777873","3.33.1.1.3","3146",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271777873","3.33.1.1.3","616",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121343802","3.33.1.5.1","19",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Number of permits","Unadjusted, current","Number","223","units","0","v121343802","3.33.1.5.1","4",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838675","3.33.1.5.3",,"..",,,"0"
"2020-04","Prince Edward Island","2016A000211","Total non-residential","Types of work, total","Number of permits","Unadjusted, constant","Number","223","thousands","3","v1271838675","3.33.1.5.3",,"..",,,"0"
"2020-03","Prince Edward Island","2016A000211","Total industrial","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121344514","3.36.1.1.1","645",,,,"0"
"2020-04","Prince Edward Island","2016A000211","Total industrial","Types of work, total","Value of permits","Unadjusted, current","Dollars","81","thousands","3","v121344514","3.36.1.1.1","413",,,,"0"
"2020-03","Prince Edward Island","2016A000211","Total industrial","Types of work, total","Value of permits","Unadjusted, constant","Dollars","81","thousands","3","v1271785219","3.36.1.1.3","560",,,,"0"
